牡蠣原始編號 Oyster Original Number,右殼長 Right Shell Length,左殼長 Left Shell Length,殼寬 Shell Width,殼高 Shell Height,面積 Area,體積 Volume,總重量 Total Weight,殼重 Shell Weight,肉重占總重量百分比(%) The proportion of Meat Weight in Total Weight(%),雜質重 Impurity Weight,肉重 Meat Weight,準確值 Accurate value,預測值 Predicted value,誤差值 Error value
40.0,6.0,7.0,4.5,1.5,31.5,47.25,25.8,17.0,0.2868217054263566,1.400000000000002,7.4,7.4,7.302206993103027,0.09779300689697301
103.0,8.6,9.1,4.2,2.1,38.22,80.262,35.5,25.1,0.2338028169014084,2.0999999999999943,8.3,8.3,8.830550193786621,-0.5305501937866204
66.0,6.0,7.2,4.1,2.2,29.52,64.944,26.8,17.6,0.3134328358208955,0.8000000000000007,8.4,8.4,7.119009017944336,1.2809909820556644
59.0,6.7,7.7,4.8,1.8,36.96,66.528,30.2,22.6,0.2483443708609271,0.0999999999999978,7.5,7.5,7.963345527648926,-0.4633455276489258
13.0,5.8,6.8,4.5,2.9,30.6,88.74,37.1,27.4,0.2695417789757412,-0.2999999999999971,10.0,10.0,9.216522216796875,0.783477783203125
116.0,6.3,7.2,4.5,2.3,32.4,74.52,34.9,21.3,0.3151862464183381,2.6000000000000014,11.0,11.0,9.034904479980469,1.9650955200195312
89.0,8.4,9.5,4.8,1.7,45.6,77.52,34.2,22.4,0.2923976608187134,1.8000000000000045,10.0,10.0,9.04797077178955,0.9520292282104492
71.0,7.5,7.8,4.5,2.1,35.1,73.71000000000001,24.6,17.5,0.2967479674796747,-0.1999999999999993,7.3,7.3,6.120867729187012,1.179132270812988
88.0,5.2,6.2,4.1,2.0,25.42,50.84,25.5,17.3,0.2784313725490196,1.1000000000000014,7.1,7.1,7.37598991394043,-0.27598991394043004
37.0,8.6,8.8,5.0,2.0,44.0,88.0,40.6,31.2,0.2364532019704433,-0.1999999999999957,9.6,9.6,10.515630722045898,-0.9156307220458988
115.0,5.8,6.5,4.4,1.6,28.6,45.760000000000005,23.1,15.3,0.3116883116883117,0.6000000000000014,7.2,7.2,6.621793746948242,0.578206253051758
22.0,6.3,6.8,4.4,2.1,29.92,62.83200000000001,26.7,18.9,0.2771535580524344,0.4000000000000021,7.4,7.4,7.10505485534668,0.29494514465332067
